"city","state","idhm","income","longevity","education","year"
"Lins","SP",0.785,0.737,0.787,0.832,1991
"Monte Belo do Sul","RS",0.771,0.663,0.818,0.832,1991
"Rio do Sul","SC",0.76,0.708,0.735,0.837,1991
"São Vendelino","RS",0.755,0.609,0.808,0.847,1991
"Tapera","RS",0.74,0.676,0.703,0.842,1991
"Toledo","PR",0.751,0.684,0.748,0.821,1991
"Barueri","SP",0.779,0.768,0.746,0.822,1991
"Chapadão do Sul","MS",0.752,0.754,0.702,0.801,1991
"Cordilheira Alta","SC",0.714,0.589,0.791,0.762,1991
"Cotia","SP",0.787,0.772,0.754,0.834,1991
"Erechim","RS",0.768,0.714,0.745,0.845,1991
"Grão Pará","SC",0.739,0.675,0.768,0.773,1991
"Guabiju","RS",0.749,0.637,0.78,0.829,1991
"Guaporé","RS",0.743,0.685,0.724,0.819,1991
"Ibirama","SC",0.748,0.651,0.779,0.813,1991
"Nova Odessa","SP",0.769,0.716,0.744,0.847,1991
"Pinhalzinho","SC",0.733,0.652,0.756,0.791,1991
"Pouso Alegre","MG",0.764,0.712,0.766,0.813,1991
"Batatais","SP",0.767,0.725,0.767,0.81,1991
"Bauru","SP",0.791,0.763,0.753,0.858,1991
"Cerquilho","SP",0.784,0.762,0.751,0.839,1991
"Cruz Alta","RS",0.758,0.683,0.734,0.856,1991
"Horizontina","RS",0.768,0.659,0.781,0.865,1991
"Indaial","SC",0.757,0.697,0.747,0.826,1991
"Itajaí","SC",0.755,0.712,0.707,0.845,1991
"Ituporanga","SC",0.757,0.703,0.797,0.771,1991
"Laurentino","SC",0.737,0.634,0.779,0.798,1991
"Moji-Mirim","SP",0.771,0.735,0.755,0.822,1991
"Montauri","RS",0.74,0.658,0.78,0.781,1991
"Rio Claro","SP",0.786,0.749,0.753,0.857,1991
"Santa Tereza","RS",0.737,0.627,0.79,0.794,1991
"São Ludgero","SC",0.757,0.679,0.775,0.816,1991
"Águas de Santa Bárbara","SP",0.733,0.684,0.714,0.8,1991
"Cunha Porã","SC",0.737,0.616,0.791,0.804,1991
"Fortaleza dos Valos","RS",0.709,0.668,0.657,0.802,1991
"Ibirubá","RS",0.741,0.688,0.705,0.831,1991
"Londrina","PR",0.766,0.741,0.725,0.831,1991
"Muçum","RS",0.769,0.696,0.793,0.817,1991
"Orlândia","SP",0.773,0.732,0.767,0.82,1991
"Sorriso","MT",0.742,0.717,0.712,0.797,1991
"Varginha","MG",0.772,0.722,0.752,0.841,1991
"Altinópolis","SP",0.763,0.704,0.791,0.794,1991
"Cocal do Sul","SC",0.772,0.67,0.801,0.846,1991
"Itaúna","MG",0.737,0.663,0.731,0.817,1991
"São Pedro da Serra","RS",0.763,0.647,0.798,0.843,1991
"Botucatu","SP",0.783,0.76,0.732,0.858,1991
"Criciúma","SC",0.765,0.712,0.738,0.844,1991
"Guaíra","SP",0.73,0.695,0.721,0.773,1991
"Guaramirim","SC",0.76,0.681,0.8,0.8,1991
"Igrejinha","RS",0.763,0.69,0.817,0.781,1991
"Mirassol","SP",0.761,0.709,0.768,0.806,1991
"Nova Bréscia","RS",0.746,0.639,0.8,0.798,1991
"Rio Fortuna","SC",0.733,0.592,0.795,0.812,1991
"Três Passos","RS",0.727,0.629,0.72,0.831,1991
"Tupandi","RS",0.735,0.603,0.802,0.801,1991
"Anta Gorda","RS",0.742,0.669,0.78,0.777,1991
"Caibi","SC",0.73,0.649,0.765,0.776,1991
"Cuiabá","MT",0.76,0.731,0.689,0.86,1991
"Marília","SP",0.774,0.754,0.729,0.84,1991
"Nova Lima","MG",0.744,0.691,0.692,0.849,1991
"Pato Bragado","PR",0.733,0.637,0.726,0.836,1991
"Santo Ângelo","RS",0.762,0.682,0.752,0.851,1991
"Torres","RS",0.735,0.699,0.695,0.811,1991
"Tunápolis","SC",0.738,0.577,0.787,0.851,1991
"Turvo","SC",0.75,0.718,0.749,0.782,1991
"Barra Bonita","SP",0.783,0.776,0.762,0.812,1991
"Bragança Paulista","SP",0.763,0.739,0.741,0.808,1991
