"city","state","idhm","income","longevity","education","year"
"Paranapoema","PR",0.629,0.558,0.63,0.698,1991
"Rio dos Índios","RS",0.585,0.455,0.616,0.684,1991
"São Sebastião do Rio Preto","MG",0.528,0.414,0.559,0.61,1991
"Araguaçu","TO",0.619,0.578,0.571,0.708,1991
"Brás Pires","MG",0.62,0.47,0.698,0.692,1991
"Cabixi","RO",0.619,0.523,0.636,0.698,1991
"Divinolândia de Minas","MG",0.593,0.486,0.654,0.638,1991
"Figueirópolis d'Oeste","MT",0.598,0.582,0.552,0.66,1991
"Jequitaí","MG",0.605,0.519,0.695,0.6,1991
"Padre Bernardo","GO",0.622,0.545,0.648,0.673,1991
"Querência do Norte","PR",0.636,0.592,0.663,0.652,1991
"Ribeirão Grande","SP",0.608,0.512,0.644,0.669,1991
"São Pedro dos Ferros","MG",0.6,0.533,0.609,0.659,1991
"Satuba","AL",0.586,0.531,0.62,0.606,1991
"Taquarussu","MS",0.644,0.587,0.655,0.69,1991
"Turmalina","MG",0.599,0.511,0.66,0.626,1991
"Abel Figueiredo","PA",0.593,0.563,0.637,0.579,1991
"Alto Paraguai","MT",0.605,0.552,0.605,0.657,1991
"Aripuanã","MT",0.64,0.646,0.659,0.614,1991
"Bataiporã","MS",0.642,0.588,0.655,0.682,1991
"Braganey","PR",0.65,0.553,0.705,0.692,1991
"Cachoeira de Goiás","GO",0.648,0.608,0.623,0.712,1991
"Cocalzinho de Goiás","GO",0.614,0.576,0.632,0.633,1991
"Conceição de Ipanema","MG",0.598,0.53,0.649,0.616,1991
"Confresa","MT",0.563,0.521,0.59,0.578,1991
"Coronel Domingos Soares","PR",0.594,0.487,0.688,0.607,1991
"Cristal do Sul","RS",0.587,0.44,0.616,0.705,1991
"Desterro de Entre Rios","MG",0.621,0.507,0.689,0.667,1991
"Eunápolis","BA",0.607,0.572,0.627,0.623,1991
"Iaciara","GO",0.608,0.548,0.618,0.657,1991
"Itaituba","PA",0.622,0.601,0.634,0.632,1991
"Itueta","MG",0.612,0.518,0.649,0.668,1991
"Luiziana","PR",0.635,0.567,0.667,0.672,1991
"Parelhas","RN",0.617,0.509,0.658,0.684,1991
"São Luiz","RR",0.667,0.609,0.645,0.747,1991
"Tejupá","SP",0.63,0.545,0.683,0.663,1991
"Vale do Paraíso","RO",0.592,0.481,0.647,0.649,1991
"Vera Cruz","BA",0.625,0.545,0.604,0.725,1991
"Vila Alta","PR",0.603,0.554,0.59,0.666,1991
"Braga","RS",0.616,0.517,0.623,0.707,1991
"Consolação","MG",0.636,0.556,0.668,0.684,1991
"Divino das Laranjeiras","MG",0.611,0.52,0.663,0.651,1991
"Faina","GO",0.603,0.561,0.595,0.654,1991
"Frei Inocêncio","MG",0.609,0.569,0.592,0.666,1991
"Ilhéus","BA",0.61,0.549,0.66,0.621,1991
"Moreira Sales","PR",0.636,0.572,0.653,0.684,1991
"Naque","MG",0.623,0.551,0.621,0.698,1991
"Nazaré da Mata","PE",0.613,0.547,0.635,0.658,1991
"Picos","PI",0.597,0.572,0.582,0.638,1991
"São José do Norte","RS",0.613,0.57,0.626,0.642,1991
"Alpercata","MG",0.633,0.524,0.715,0.66,1991
"Antônio João","MS",0.653,0.57,0.664,0.726,1991
"Bela Vista do Toldo","SC",0.632,0.524,0.653,0.719,1991
"Caracaraí","RR",0.657,0.663,0.655,0.654,1991
"Castanheiras","RO",0.536,0.468,0.572,0.568,1991
"Gaúcha do Norte","MT",0.545,0.5,0.697,0.438,1991
"Guamiranga","PR",0.621,0.53,0.613,0.719,1991
"Ipaba","MG",0.599,0.484,0.67,0.644,1991
"Jamari","RO",0.609,0.589,0.568,0.671,1991
"Mocajuba","PA",0.631,0.484,0.664,0.746,1991
"Nova Bandeirantes","MT",0.648,0.666,0.595,0.684,1991
"Nova Canaã do Norte","MT",0.612,0.572,0.604,0.66,1991
"Novo Horizonte do Norte","MT",0.614,0.553,0.627,0.661,1991
"Ouro Branco","RN",0.591,0.495,0.616,0.661,1991
"Rio Branco do Sul","PR",0.627,0.584,0.644,0.654,1991
"Rio Doce","MG",0.615,0.541,0.599,0.704,1991
"Salto do Céu","MT",0.583,0.548,0.651,0.551,1991
"São Gonçalo do Rio Abaixo","MG",0.611,0.561,0.594,0.678,1991
"Sooretama","ES",0.603,0.503,0.656,0.649,1991
"Taquarivaí","SP",0.632,0.556,0.639,0.701,1991
"Barra de São Francisco","ES",0.61,0.555,0.584,0.69,1991
"Buri","SP",0.658,0.608,0.642,0.725,1991
"Campina do Simão","PR",0.602,0.498,0.62,0.687,1991
"Conceição da Barra de Minas","MG",0.625,0.495,0.656,0.724,1991
"Dueré","TO",0.598,0.524,0.641,0.63,1991
"Farol","PR",0.615,0.546,0.607,0.693,1991
"Guanambi","BA",0.617,0.551,0.666,0.634,1991
"Iguatu","PR",0.604,0.525,0.627,0.659,1991
"Ivaí","PR",0.622,0.538,0.599,0.73,1991
"Luisburgo","MG",0.576,0.538,0.621,0.57,1991
"Ministro Andreazza","RO",0.607,0.563,0.647,0.611,1991
"Nova Marilândia","MT",0.62,0.641,0.595,0.623,1991
"Nova Santa Bárbara","PR",0.614,0.6,0.588,0.653,1991
"Roncador","PR",0.614,0.555,0.607,0.68,1991
"Senador Guiomard","AC",0.608,0.568,0.643,0.613,1991
"Bannach","PA",0.657,0.669,0.727,0.574,1991
"Barbosa Ferraz","PR",0.633,0.548,0.677,0.673,1991
"Calmon","SC",0.634,0.555,0.683,0.663,1991
"Canaã dos Carajás","PA",0.552,0.511,0.544,0.601,1991
"Carlinda","MT",0.58,0.516,0.628,0.596,1991
"Ervália","MG",0.596,0.502,0.662,0.623,1991
"Espera Feliz","MG",0.62,0.571,0.642,0.646,1991
"Iracema do Oeste","PR",0.593,0.542,0.604,0.632,1991
"Itanhomi","MG",0.604,0.535,0.652,0.626,1991
"Itapetinga","BA",0.614,0.573,0.613,0.656,1991
"Marapanim","PA",0.618,0.486,0.611,0.756,1991
"Nova União","MG",0.613,0.501,0.646,0.693,1991
"Pilar de Goiás","GO",0.584,0.563,0.533,0.656,1991
"Quarto Centenário","PR",0.631,0.599,0.629,0.666,1991
"Riachinho","MG",0.603,0.503,0.695,0.61,1991
"Santa Maria de Itabira","MG",0.594,0.503,0.629,0.651,1991
"Santa Mônica","PR",0.587,0.493,0.602,0.665,1991
"Santana do Jacaré","MG",0.639,0.597,0.678,0.641,1991
"São Caetano de Odivelas","PA",0.638,0.499,0.673,0.741,1991
"São Cristóvão","SE",0.629,0.518,0.654,0.714,1991
"São José de Ribamar","MA",0.606,0.511,0.553,0.755,1991
"Taparuba","MG",0.568,0.503,0.606,0.595,1991
"Cafeara","PR",0.644,0.59,0.648,0.695,1991
"Coroaci","MG",0.571,0.468,0.59,0.656,1991
"Iretama","PR",0.605,0.52,0.643,0.652,1991
"Jaboti","PR",0.63,0.526,0.66,0.703,1991
"lagoas","MG",0.61,0.534,0.63,0.665,1991
"Ourilândia do Norte","PA",0.631,0.668,0.623,0.601,1991
"Paula Cândido","MG",0.615,0.509,0.657,0.68,1991
"Porto Seguro","BA",0.59,0.563,0.627,0.581,1991
"Presidente Bernardes","MG",0.613,0.501,0.663,0.674,1991
"Salinas","MG",0.608,0.516,0.674,0.635,1991
"Santa Cruz do Capibaribe","PE",0.635,0.629,0.672,0.603,1991
"São José do Povo","MT",0.625,0.555,0.653,0.666,1991
"Sobral","CE",0.581,0.547,0.594,0.601,1991
"Tabatinga","AM",0.624,0.535,0.669,0.667,1991
"Taiobeiras","MG",0.612,0.538,0.674,0.625,1991
"Vila Valério","ES",0.601,0.569,0.578,0.656,1991
"Acari","RN",0.611,0.526,0.643,0.663,1991
"Camacho","MG",0.591,0.531,0.626,0.617,1991
"Carmésia","MG",0.63,0.539,0.684,0.667,1991
"Fátima","TO",0.646,0.552,0.591,0.796,1991
"Floresta","PE",0.619,0.525,0.697,0.636,1991
"Miradouro","MG",0.601,0.502,0.659,0.642,1991
"Nova Cantu","PR",0.625,0.582,0.636,0.656,1991
"Porto Murtinho","MS",0.62,0.547,0.639,0.673,1991
"Rancho Alegre d'Oeste","PR",0.653,0.634,0.638,0.688,1991
"Rio Branco","MT",0.636,0.607,0.626,0.674,1991
"Russas","CE",0.599,0.529,0.641,0.627,1991
"Santo Antônio do Rio Abaixo","MG",0.591,0.484,0.642,0.648,1991
"São João do Manhuaçu","MG",0.586,0.538,0.597,0.623,1991
"Sapopema","PR",0.618,0.517,0.699,0.638,1991
"Tabuleiro do Norte","CE",0.573,0.538,0.638,0.544,1991
"Teixeira de Freitas","BA",0.598,0.599,0.558,0.638,1991
"Ubaporanga","MG",0.603,0.479,0.695,0.635,1991
"Uruana de Minas","MG",0.601,0.497,0.669,0.638,1991
"Urucará","AM",0.64,0.559,0.599,0.761,1991
"Vargem Alegre","MG",0.608,0.502,0.695,0.626,1991
"Belo Oriente","MG",0.604,0.527,0.589,0.696,1991
"Boa Vista da Aparecida","PR",0.603,0.485,0.643,0.682,1991
"Campo Novo de Rondônia","RO",0.593,0.54,0.596,0.644,1991
"Glaucilândia","MG",0.594,0.477,0.652,0.654,1991
"Guaraíta","GO",0.604,0.543,0.605,0.663,1991
"Iapu","MG",0.628,0.534,0.712,0.638,1991
"Ibotirama","BA",0.575,0.49,0.626,0.61,1991
"Juazeiro do Norte","CE",0.596,0.562,0.613,0.612,1991
"Mãe do Rio","PA",0.618,0.54,0.645,0.67,1991
"Nova Laranjeiras","PR",0.573,0.472,0.606,0.641,1991
"Ramilândia","PR",0.64,0.544,0.71,0.666,1991
"Serranos","MG",0.629,0.555,0.659,0.672,1991
"Tailândia","PA",0.61,0.61,0.664,0.557,1991
"Várzea","PB",0.592,0.447,0.586,0.742,1991
"Alexânia","GO",0.622,0.562,0.647,0.656,1991
"Alto Rio Doce","MG",0.593,0.47,0.657,0.652,1991
"Balsas","MA",0.588,0.49,0.616,0.659,1991
"Bom Jesus do Sul","PR",0.623,0.485,0.679,0.706,1991
"Caculé","BA",0.583,0.481,0.642,0.627,1991
"Chapada de Areia","TO",0.578,0.474,0.606,0.654,1991
"Nossa Senhora do Socorro","SE",0.629,0.51,0.655,0.721,1991
"Parintins","AM",0.658,0.546,0.636,0.791,1991
"Ponto Belo","ES",0.627,0.556,0.657,0.667,1991
"Santa Margarida","MG",0.603,0.583,0.596,0.63,1991
"Santana do Itararé","PR",0.623,0.561,0.635,0.674,1991
"Acorizal","MT",0.624,0.519,0.699,0.654,1991
"Água Fria de Goiás","GO",0.6,0.565,0.629,0.607,1991
"Amélia Rodrigues","BA",0.584,0.507,0.561,0.683,1991
"Barros Cassal","RS",0.599,0.559,0.601,0.638,1991
"Cabeceiras","GO",0.635,0.555,0.644,0.706,1991
"Conceição do Jacuípe","BA",0.628,0.544,0.642,0.698,1991
"Cujubim","RO",0.597,0.5,0.647,0.644,1991
"Ecoporanga","ES",0.602,0.57,0.602,0.633,1991
"Formoso","MG",0.591,0.543,0.659,0.571,1991
"General Carneiro","MT",0.613,0.542,0.585,0.713,1991
"Grandes Rios","PR",0.639,0.564,0.705,0.648,1991
"Itapissuma","PE",0.589,0.47,0.67,0.627,1991
"Marianópolis do Tocantins","TO",0.595,0.546,0.541,0.699,1991
"Oliveira Fortes","MG",0.618,0.529,0.689,0.636,1991
"Peixe","TO",0.583,0.51,0.632,0.608,1991
"Porto Esperidião","MT",0.602,0.572,0.606,0.629,1991
"Salto do Itararé","PR",0.615,0.522,0.635,0.688,1991
"São Geraldo do Baixio","MG",0.6,0.521,0.697,0.581,1991
"São Gonçalo do Amarante","RN",0.582,0.515,0.596,0.635,1991
"Alvorada d'Oeste","RO",0.595,0.5,0.598,0.686,1991
"Barão de Monte Alto","MG",0.613,0.513,0.65,0.676,1991
"Boa Esperança","ES",0.619,0.56,0.587,0.709,1991
"Buritis","RO",0.601,0.587,0.647,0.569,1991
"Cajuri","MG",0.56,0.479,0.545,0.657,1991
"Campo Belo do Sul","SC",0.617,0.52,0.675,0.656,1991
"Campos Verdes","GO",0.589,0.59,0.567,0.609,1991
"Datas","MG",0.629,0.53,0.668,0.689,1991
"Entre Rios","SC",0.596,0.468,0.705,0.615,1991
"Extremoz","RN",0.575,0.509,0.591,0.626,1991
"Guarinos","GO",0.568,0.504,0.533,0.668,1991
"Iranduba","AM",0.619,0.564,0.64,0.653,1991
"Itapiranga","AM",0.656,0.539,0.645,0.784,1991
"Jequié","BA",0.603,0.548,0.622,0.638,1991
"Lajinha","MG",0.623,0.56,0.678,0.631,1991
"Martins","RN",0.57,0.467,0.584,0.659,1991
"Novo Alegre","TO",0.602,0.565,0.539,0.702,1991
"Passabém","MG",0.619,0.51,0.676,0.671,1991
"Piedade dos Gerais","MG",0.595,0.497,0.673,0.614,1991
"Ribeirão Cascalheira","MT",0.599,0.597,0.51,0.689,1991
"Riversul","SP",0.615,0.552,0.57,0.724,1991
"Santo Antônio do Tauá","PA",0.593,0.496,0.6,0.684,1991
"São Felipe d'Oeste","RO",0.582,0.474,0.629,0.643,1991
"São João do Jaguaribe","CE",0.581,0.494,0.638,0.612,1991
"Bom Sucesso de Itararé","SP",0.594,0.54,0.55,0.692,1991
"Brumado","BA",0.599,0.609,0.555,0.632,1991
"CanaBrava do Norte","MT",0.577,0.61,0.577,0.545,1991
"Caputira","MG",0.579,0.48,0.609,0.647,1991
"Costa Marques","RO",0.654,0.592,0.629,0.742,1991
"Dianópolis","TO",0.614,0.585,0.554,0.702,1991
"Garanhuns","PE",0.617,0.598,0.588,0.664,1991
"Iporanga","SP",0.632,0.56,0.644,0.691,1991
"Moreno","PE",0.618,0.523,0.672,0.658,1991
"Santa Bárbara do Monte Verde","MG",0.584,0.522,0.617,0.613,1991
"Santo Antônio do Grama","MG",0.625,0.525,0.66,0.689,1991
"São Sebastião do Passé","BA",0.618,0.558,0.631,0.666,1991
"Tarumirim","MG",0.604,0.481,0.695,0.635,1991
"Urucânia","MG",0.594,0.531,0.595,0.657,1991
"Brasília de Minas","MG",0.6,0.498,0.652,0.651,1991
"Central de Minas","MG",0.602,0.532,0.669,0.604,1991
"Congonhinhas","PR",0.614,0.53,0.686,0.626,1991
"Divino","MG",0.609,0.562,0.628,0.637,1991
"Goiana","PE",0.593,0.519,0.632,0.628,1991
"Iguatu","CE",0.592,0.564,0.63,0.581,1991
"Janiópolis","PR",0.652,0.618,0.638,0.701,1991
"Jaú do Tocantins","TO",0.601,0.521,0.658,0.623,1991
"Jequitibá","MG",0.58,0.498,0.578,0.665,1991
"Lambari d'Oeste","MT",0.579,0.533,0.6,0.605,1991
"Lunardelli","PR",0.62,0.535,0.655,0.669,1991
"Mundo Novo","GO",0.595,0.585,0.561,0.638,1991
"Presidente Kennedy","TO",0.626,0.556,0.64,0.682,1991
"Santana dos Montes","MG",0.62,0.486,0.652,0.723,1991
"São Francisco do Glória","MG",0.602,0.549,0.642,0.615,1991
"Turvo","PR",0.621,0.566,0.626,0.672,1991
"Inimutaba","MG",0.628,0.558,0.618,0.707,1991
"Ipueira","RN",0.611,0.525,0.616,0.693,1991
"Jacundá","PA",0.627,0.6,0.664,0.617,1991
"Jaguaré","ES",0.629,0.632,0.555,0.7,1991
"Lamim","MG",0.602,0.488,0.643,0.676,1991
"Luciara","MT",0.61,0.583,0.51,0.738,1991
"Machadinho d'Oeste","RO",0.628,0.597,0.591,0.695,1991
"Maranguape","CE",0.578,0.497,0.604,0.634,1991
"Marquinho","PR",0.598,0.45,0.693,0.651,1991
"Mirante da Serra","RO",0.602,0.506,0.647,0.654,1991
"Primavera de Rondônia","RO",0.593,0.501,0.629,0.648,1991
"Santa Rita do Itueto","MG",0.569,0.486,0.649,0.573,1991
"São Geraldo do Araguaia","PA",0.546,0.48,0.632,0.525,1991
"Augusto de Lima","MG",0.601,0.507,0.637,0.658,1991
"Ibitirama","ES",0.587,0.537,0.632,0.591,1991
"Inácio Martins","PR",0.603,0.483,0.646,0.681,1991
"Macau","RN",0.61,0.551,0.596,0.684,1991
"Monte Alegre","PA",0.603,0.489,0.664,0.655,1991
"Mucuri","BA",0.525,0.551,0.548,0.476,1991
"Olaria","MG",0.593,0.541,0.617,0.622,1991
"Oliveira de Fátima","TO",0.561,0.461,0.498,0.725,1991
"Paragominas","PA",0.574,0.587,0.569,0.566,1991
"Pium","TO",0.597,0.546,0.571,0.673,1991
"Placas","PA",0.61,0.519,0.664,0.648,1991
"Pocrane","MG",0.603,0.479,0.698,0.631,1991
"Santa Rita de Ibitipoca","MG",0.594,0.471,0.695,0.616,1991
"Santana do Araguaia","PA",0.597,0.542,0.639,0.61,1991
"São Francisco do Pará","PA",0.632,0.579,0.61,0.706,1991
"Senhor do Bonfim","BA",0.561,0.53,0.547,0.606,1991
"Bayeux","PB",0.6,0.506,0.651,0.643,1991
"Desterro do Melo","MG",0.613,0.505,0.689,0.646,1991
"Foz do Jordão","PR",0.631,0.544,0.657,0.692,1991
"Goianápolis","GO",0.632,0.592,0.658,0.647,1991
"Guaraciama","MG",0.605,0.448,0.688,0.679,1991
"Itaobim","MG",0.598,0.491,0.679,0.623,1991
"Maués","AM",0.649,0.589,0.66,0.698,1991
"Nova Brasilândia d'Oeste","RO",0.585,0.489,0.607,0.659,1991
"Nova Tebas","PR",0.58,0.477,0.643,0.62,1991
"Sabinópolis","MG",0.632,0.547,0.697,0.652,1991
"São João do Ivaí","PR",0.615,0.616,0.559,0.671,1991
"São Sebastião da Vargem Alegre","MG",0.565,0.5,0.574,0.621,1991
"Vermelho Novo","MG",0.59,0.494,0.633,0.644,1991
"Alto do Rodrigues","RN",0.554,0.486,0.552,0.624,1991
"Alvorada do Norte","GO",0.617,0.556,0.618,0.677,1991
"Angicos","RN",0.577,0.487,0.648,0.596,1991
"Ariranha do Ivaí","PR",0.567,0.488,0.587,0.627,1991
"Boa Vista","PB",0.604,0.503,0.664,0.646,1991
"Calçoene","AP",0.636,0.603,0.57,0.736,1991
"Conceição da Barra","ES",0.584,0.56,0.539,0.654,1991
"Divino de São Lourenço","ES",0.596,0.511,0.64,0.636,1991
"Fortaleza do Tabocão","TO",0.568,0.485,0.666,0.554,1991
"Galiléia","MG",0.593,0.558,0.592,0.629,1991
"Limoeiro","PE",0.586,0.529,0.601,0.629,1991
"Petrolândia","PE",0.615,0.542,0.63,0.672,1991
"Piedade do Rio Grande","MG",0.623,0.535,0.656,0.678,1991
"Santa Cruz Cabrália","BA",0.56,0.533,0.625,0.523,1991
"São Francisco de Itabapoana","RJ",0.584,0.497,0.682,0.572,1991
"Taquaritinga do Norte","PE",0.587,0.55,0.635,0.576,1991
"Terra Santa","PA",0.614,0.471,0.586,0.786,1991
"Ulianópolis","PA",0.561,0.613,0.569,0.5,1991
"Vale do Anari","RO",0.56,0.495,0.582,0.602,1991
"Vila Pavão","ES",0.612,0.561,0.642,0.632,1991
"Araçuaí","MG",0.597,0.516,0.652,0.623,1991
"Arapuã","PR",0.598,0.481,0.662,0.65,1991
"Barbalha","CE",0.591,0.506,0.663,0.603,1991
"Campo Bonito","PR",0.614,0.532,0.658,0.652,1991
"Campo do Tenente","PR",0.593,0.542,0.546,0.691,1991
"Caseara","TO",0.611,0.536,0.628,0.67,1991
"Coração de Jesus","MG",0.598,0.483,0.652,0.66,1991
"Ibaiti","PR",0.609,0.606,0.543,0.678,1991
"Ibiaí","MG",0.609,0.489,0.695,0.643,1991
"Itapemirim","ES",0.601,0.54,0.586,0.677,1991
"Paulistas","MG",0.596,0.489,0.693,0.607,1991
"Penaforte","CE",0.543,0.43,0.618,0.58,1991
"Seringueiras","RO",0.598,0.5,0.622,0.673,1991
"Tocantinópolis","TO",0.613,0.528,0.625,0.685,1991
"Águia Branca","ES",0.582,0.492,0.586,0.668,1991
"Cantagalo","PR",0.619,0.548,0.615,0.695,1991
"Cerro Negro","SC",0.598,0.479,0.69,0.625,1991
"Dois Irmãos do Buriti","MS",0.609,0.551,0.638,0.639,1991
"Engenheiro Navarro","MG",0.614,0.519,0.688,0.634,1991
"Fervedouro","MG",0.567,0.476,0.683,0.543,1991
"Jatobá","PE",0.605,0.549,0.63,0.637,1991
"Nova Crixás","GO",0.593,0.604,0.58,0.594,1991
"Porto Firme","MG",0.604,0.488,0.698,0.626,1991
"Santa Bárbara do Pará","PA",0.619,0.491,0.604,0.761,1991
"Tibagi","PR",0.597,0.535,0.604,0.653,1991
"Tunas do Paraná","PR",0.582,0.524,0.707,0.515,1991
"Arraias","TO",0.563,0.552,0.593,0.543,1991
"Cajazeiras","PB",0.614,0.55,0.672,0.619,1991
"Claro dos Poções","MG",0.591,0.477,0.652,0.644,1991
"Monte Negro","RO",0.605,0.571,0.608,0.637,1991
"Nova Porteirinha","MG",0.598,0.475,0.671,0.648,1991
"Pedra Bonita","MG",0.567,0.425,0.678,0.599,1991
"Pingo d'Água","MG",0.614,0.486,0.695,0.662,1991
"Rondon do Pará","PA",0.614,0.596,0.637,0.608,1991
"Santana do Riacho","MG",0.591,0.504,0.641,0.627,1991
"São José do Goiabal","MG",0.593,0.537,0.539,0.704,1991
"Senhora dos Remédios","MG",0.607,0.467,0.689,0.665,1991
"Sobrália","MG",0.593,0.497,0.638,0.645,1991
"Teixeirópolis","RO",0.593,0.493,0.647,0.64,1991
"Turvelândia","GO",0.626,0.587,0.616,0.674,1991
"Aracitaba","MG",0.611,0.55,0.617,0.667,1991
"Bom Jesus","PI",0.597,0.538,0.63,0.624,1991
"Cedro de São João","SE",0.614,0.527,0.661,0.654,1991
"Cerro Azul","PR",0.568,0.52,0.661,0.522,1991
"Colméia","TO",0.613,0.583,0.586,0.671,1991
"Epitaciolândia","AC",0.6,0.562,0.586,0.653,1991
"Eusébio","CE",0.579,0.549,0.577,0.61,1991
"Itacuruba","PE",0.62,0.57,0.688,0.601,1991
"Itaverava","MG",0.627,0.506,0.714,0.662,1991
"Pedro Teixeira","MG",0.609,0.512,0.627,0.689,1991
"Santa Rita do Novo Destino","GO",0.59,0.527,0.605,0.637,1991
"Santana do Seridó","RN",0.582,0.458,0.616,0.673,1991
"Santo Amaro","BA",0.606,0.538,0.551,0.73,1991
"Sardoá","MG",0.6,0.5,0.693,0.606,1991
"Sobradinho","BA",0.617,0.576,0.575,0.699,1991
"Adrianópolis","PR",0.613,0.549,0.661,0.63,1991
"Afogados da Ingazeira","PE",0.596,0.506,0.655,0.628,1991
"Bonópolis","GO",0.582,0.535,0.578,0.632,1991
"Brasilândia do Tocantins","TO",0.602,0.55,0.62,0.637,1991
"Chapada Gaúcha","MG",0.56,0.463,0.682,0.535,1991
"Governador Jorge Teixeira","RO",0.567,0.549,0.558,0.595,1991
"Grossos","RN",0.55,0.493,0.601,0.557,1991
"Juazeiro","BA",0.589,0.558,0.521,0.688,1991
"Leme do Prado","MG",0.568,0.48,0.666,0.558,1991
"Mantenópolis","ES",0.595,0.561,0.602,0.622,1991
"Mathias Lobato","MG",0.606,0.516,0.679,0.622,1991
"Matipó","MG",0.576,0.542,0.576,0.611,1991
"Plácido de Castro","AC",0.572,0.506,0.649,0.561,1991
"São Félix do Coribe","BA",0.541,0.48,0.616,0.526,1991
"São João Evangelista","MG",0.592,0.553,0.574,0.65,1991
"São José do Mantimento","MG",0.58,0.474,0.678,0.589,1991
"Tamarana","PR",0.659,0.645,0.689,0.642,1991
"Tumiritinga","MG",0.613,0.559,0.676,0.603,1991
"Cabaceiras","PB",0.58,0.487,0.572,0.68,1991
"Curionópolis","PA",0.594,0.604,0.598,0.579,1991
"Joanésia","MG",0.584,0.466,0.675,0.612,1991
"Medeiros Neto","BA",0.591,0.553,0.64,0.58,1991
"Morro do Pilar","MG",0.543,0.523,0.559,0.547,1991
"Santana do Garambéu","MG",0.589,0.493,0.659,0.616,1991
"Serra Talhada","PE",0.591,0.533,0.655,0.585,1991
"Abaíra","BA",0.591,0.482,0.636,0.655,1991
"Cachoeira","BA",0.598,0.511,0.585,0.698,1991
"Carlos Chagas","MG",0.579,0.567,0.604,0.567,1991
"Dionísio","MG",0.614,0.532,0.584,0.725,1991
"Estreito","MA",0.597,0.527,0.636,0.627,1991
"Guadalupe","PI",0.62,0.538,0.626,0.695,1991
"Itabirinha de Mantena","MG",0.586,0.543,0.647,0.568,1991
"Lassance","MG",0.63,0.526,0.695,0.67,1991
"Óbidos","PA",0.616,0.509,0.625,0.713,1991
"Santa Rita de Minas","MG",0.577,0.521,0.613,0.598,1991
"São José do Xingu","MT",0.608,0.652,0.577,0.595,1991
"São Raimundo Nonato","PI",0.611,0.518,0.671,0.645,1991
"Acrelândia","AC",0.58,0.545,0.652,0.544,1991
"Berilo","MG",0.617,0.53,0.698,0.624,1991
"Brejetuba","ES",0.555,0.469,0.667,0.528,1991
"Brejo Grande do Araguaia","PA",0.54,0.441,0.613,0.566,1991
"Cachoeira do Arari","PA",0.601,0.489,0.657,0.656,1991
"Curimatá","PI",0.588,0.46,0.643,0.66,1991
"Goioxim","PR",0.565,0.47,0.606,0.62,1991
"Itaitinga","CE",0.557,0.491,0.596,0.583,1991
"Jangada","MT",0.548,0.545,0.577,0.522,1991
"Jauru","MT",0.576,0.518,0.597,0.613,1991
"Juramento","MG",0.582,0.479,0.613,0.653,1991
"Morro da Garça","MG",0.579,0.503,0.559,0.674,1991
"Nova União","RO",0.571,0.483,0.647,0.583,1991
"Piraquê","TO",0.593,0.518,0.647,0.613,1991
"Reserva do Cabaçal","MT",0.582,0.553,0.543,0.651,1991
"São Francisco","MG",0.589,0.467,0.673,0.627,1991
"Timbó Grande","SC",0.61,0.535,0.653,0.642,1991
"Alto Rio Novo","ES",0.584,0.55,0.55,0.653,1991
"Buenópolis","MG",0.578,0.523,0.559,0.653,1991
"Carbonita","MG",0.593,0.533,0.666,0.581,1991
"Corrente","PI",0.598,0.506,0.643,0.645,1991
"Ferros","MG",0.602,0.532,0.689,0.586,1991
"Horizonte","CE",0.545,0.493,0.597,0.546,1991
"Mucurici","ES",0.613,0.562,0.612,0.666,1991
"Nova Roma","GO",0.57,0.51,0.577,0.622,1991
"Palmeiras","BA",0.566,0.5,0.589,0.61,1991
"Pescador","MG",0.593,0.504,0.636,0.638,1991
"Poconé","MT",0.629,0.644,0.592,0.652,1991
"Santa Luzia d'Oeste","RO",0.562,0.48,0.572,0.634,1991
"Santana de Pirapama","MG",0.586,0.511,0.625,0.623,1991
"São João do Oriente","MG",0.593,0.537,0.613,0.629,1991
"São João do Triunfo","PR",0.611,0.515,0.602,0.717,1991
"Simonésia","MG",0.577,0.463,0.655,0.614,1991
"Varre-Sai","RJ",0.6,0.565,0.596,0.638,1991
"Acaiaca","MG",0.59,0.535,0.566,0.67,1991
"Canaã","MG",0.578,0.45,0.666,0.619,1991
"Corumbataí do Sul","PR",0.58,0.47,0.611,0.658,1991
"Cruzmaltina","PR",0.596,0.511,0.608,0.67,1991
"Humaitá","AM",0.556,0.528,0.669,0.47,1991
"Inhangapi","PA",0.605,0.49,0.696,0.629,1991
"Itabaiana","SE",0.598,0.573,0.655,0.566,1991
"Pacajus","CE",0.567,0.53,0.597,0.573,1991
"Patos","PB",0.597,0.563,0.56,0.667,1991
"Porto Franco","MA",0.596,0.52,0.636,0.631,1991
"Ribeira","SP",0.623,0.545,0.613,0.712,1991
"Tibau","RN",0.528,0.468,0.569,0.547,1991
"Açu","RN",0.563,0.542,0.542,0.604,1991
"Altamira do Paraná","PR",0.589,0.509,0.631,0.627,1991
"Araguanã","TO",0.543,0.477,0.631,0.52,1991
"Baião","PA",0.589,0.452,0.638,0.677,1991
"Cabrobó","PE",0.572,0.515,0.652,0.548,1991
"Córrego Novo","MG",0.608,0.503,0.695,0.625,1991
"Juarina","TO",0.541,0.455,0.566,0.601,1991
"Mesquita","MG",0.585,0.498,0.622,0.634,1991
"Novo Acordo","TO",0.581,0.464,0.618,0.661,1991
